session,stim,phy_dir,ap_dir,lfp_dir,age,notes,s1_upper_um,s1_lower_um,tip_dv_mm,l1_end,l23_end,l4_end,l5_end,l6_end
a2,spont,C:\Users\Ben\Desktop\Spon Final\A2,E:\Neurpixels_Sally\practice2_SZMB_spon_final_2024-11-20_16-19-00\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_spon_final_2024-11-20_16-19-00\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
a2,pinch_contra,C:\Users\Ben\Desktop\Contra Pinch\A2,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_contra_final_2024-11-20_16-59-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_contra_final_2024-11-20_16-59-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
a2,pinch_ipsi,C:\Users\Ben\Desktop\Ipsi Pinch\A2,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_ipsi_final_2024-11-20_17-00-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_ipsi_final_2024-11-20_17-00-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
a2,pinch_tail,C:\Users\Ben\Desktop\Tail Pinch\A2,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_tail_final_2024-11-20_17-01-11\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_tail_final_2024-11-20_17-01-11\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
a2,brush_contra,C:\Users\Ben\Desktop\Contra Brush\A2,E:\Neurpixels_Sally\practice2_SZMB_brush_final_2024-11-20_16-27-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_brush_final_2024-11-20_16-27-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
a2,brush_ipsi,C:\Users\Ben\Desktop\Ipsi Brush\A2,E:\Neurpixels_Sally\practice2_SZMB_ipsibrush_final_2024-11-20_16-28-12\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_ipsibrush_final_2024-11-20_16-28-12\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
a2,brush_tail,C:\Users\Ben\Desktop\Tail Brush\A2,E:\Neurpixels_Sally\practice2_SZMB_tailbrush_final_2024-11-20_16-28-59\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_tailbrush_final_2024-11-20_16-28-59\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,N/A,3760,2486,4,3662,3333,3157,2863,2486
pup1,spont,C:\Users\Ben\Desktop\Spon Final\Pup1 - R2,E:\Neurpixels_Sally\pup1_SZMB_spon_final_2024-12-19_15-47-42\Record Node 118\experiment1\recording2\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\pup1_SZMB_spon_final_2024-12-19_15-47-42\Record Node 118\experiment1\recording2\continuous\Neuropix-PXI-117.ProbeA-LFP,p12,r2,2460,1631,2.5,2402,2186,2071,1878,1631
pup1,pinch_contra,C:\Users\Ben\Desktop\Contra Pinch\Pup1,E:\Neurpixels_Sally\pup1_SZMB_pinch_contra_final_2024-12-19_15-59-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\pup1_SZMB_pinch_contra_final_2024-12-19_15-59-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,p12,Truncated,2460,1631,2.5,2402,2186,2071,1878,1631
pup1,pinch_ipsi,C:\Users\Ben\Desktop\Ipsi Pinch\PUP1,E:\Neurpixels_Sally\pup1_SZMB_pinch_ipsi_final_2024-12-19_16-00-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\pup1_SZMB_pinch_ipsi_final_2024-12-19_16-00-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,p12,N/A,2460,1631,2.5,2402,2186,2071,1878,1631
pup1,pinch_tail,C:\Users\Ben\Desktop\Tail Pinch\PUP1,E:\Neurpixels_Sally\pup1_SZMB_pinch_tail_final_2024-12-19_16-00-57\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\pup1_SZMB_pinch_tail_final_2024-12-19_16-00-57\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,p12,N/A,2460,1631,2.5,2402,2186,2071,1878,1631
pup1,brush_contra,C:\Users\Ben\Desktop\Contra Brush\PUP1,E:\Neurpixels_Sally\pup1_SZMB_brush_contra_final_2024-12-19_15-56-21\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\pup1_SZMB_brush_contra_final_2024-12-19_15-56-21\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,p12,N/A,2460,1631,2.5,2402,2186,2071,1878,1631
pup1,brush_ipsi,C:\Users\Ben\Desktop\Ipsi Brush\PUP1,E:\Neurpixels_Sally\pup1_SZMB_brush_ipsi_final_2024-12-19_15-57-22\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\pup1_SZMB_brush_ipsi_final_2024-12-19_15-57-22\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,p12,N/A,2460,1631,2.5,2402,2186,2071,1878,1631
